group,step,direction,most_AB,all,t,p
30k-4c:0nc,101,most_AB < all,0.5174222,0.612963,-2.592994,0.0111223591431976
30k-4c:0nc,151,most_AB < all,0.5266815,0.6505185,-3.485331,0.000765161987246106
30k-4c:0nc,201,most_AB < all,0.5316,0.6915704,-4.652373,1.13621272777217e-05
30k-4c:0nc,251,most_AB < all,0.5448296,0.7212741,-5.252306,1.01559958996629e-06
30k-4c:0nc,301,most_AB < all,0.5478963,0.7381926,-5.92002,5.92147255748055e-08
30k-4c:0nc,351,most_AB < all,0.5568444,0.7661037,-7.149351,2.32584025442939e-10
30k-4c:0nc,401,most_AB < all,0.5651556,0.7823259,-8.05518,3.34758851266005e-12
30k-4c:0nc,451,most_AB < all,0.5674222,0.7952593,-8.860219,7.31360900963024e-14
30k-4c:0nc,501,most_AB < all,0.5750074,0.8144148,-9.973249,3.63621970655037e-16
30k-4c:0nc,551,most_AB < all,0.5827852,0.8327556,-11.21309,1.0405524278817e-18
30k-4c:0nc,601,most_AB < all,0.5851852,0.8424741,-12.42803,3.75216568962904e-21
30k-4c:0nc,651,most_AB < all,0.587837,0.8613778,-14.95837,5.10822473759661e-26
30k-4c:0nc,701,most_AB < all,0.5897185,0.8716,-16.60453,5.32616112003024e-29
30k-4c:0nc,751,most_AB < all,0.5988444,0.8764741,-17.748,5.5337074864914e-31
30k-4c:0nc,801,most_AB < all,0.6033481,0.8824741,-19.9854,1.16237954767322e-34
30k-4c:0nc,851,most_AB < all,0.6024741,0.8878074,-23.5712,4.9194430145304e-40
30k-4c:0nc,901,most_AB < all,0.6102074,0.8963556,-31.30253,8.04572414815933e-50
30k-4c:0nc,951,most_AB < all,0.614963,0.8997481,-30.77277,3.2367497154644e-49
30k-4c:0nc,1001,most_AB < all,0.618963,0.902563,-32.77676,1.85021448795668e-51
30k-4c:0nc,1051,most_AB < all,0.6219407,0.9067111,-36.54305,2.24401591625944e-55
30k-4c:0nc,1101,most_AB < all,0.6276,0.9082222,-35.66373,1.70979606896723e-54
30k-4c:0nc,1151,most_AB < all,0.6341333,0.9090222,-33.17026,6.92569150875093e-52
30k-4c:0nc,1201,most_AB < all,0.6364444,0.9090222,-32.83405,1.60256946263491e-51
30k-4c:0nc,1251,most_AB < all,0.6358074,0.9090667,-33.03184,9.77447856410262e-52
30k-4c:0nc,1301,most_AB < all,0.6402222,0.9092148,-29.89227,3.42208590298491e-48
30k-4c:0nc,1351,most_AB < all,0.6432148,0.9096148,-28.71885,8.67623447689247e-47
30k-4c:0nc,1401,most_AB < all,0.6431111,0.9097778,-29.62807,7.02161974647335e-48
30k-4c:0nc,1451,most_AB < all,0.6460296,0.9100593,-29.57468,8.12434968047252e-48
30k-4c:0nc,1501,most_AB < all,0.6556,0.9098963,-26.86901,1.77196023434434e-44
30k-4c:0nc,1551,most_AB < all,0.6549037,0.910163,-25.81506,4.17971761807791e-43
30k-4c:0nc,1601,most_AB < all,0.6540296,0.9100741,-25.02623,4.75337345353094e-42
30k-4c:0nc,1651,most_AB < all,0.6592,0.9100593,-24.28118,4.98383646412675e-41
30k-4c:0nc,1701,most_AB < all,0.666163,0.910237,-23.77881,2.5055601438992e-40
30k-4c:0nc,1751,most_AB < all,0.664637,0.910237,-24.01506,1.16880002389439e-40
30k-4c:0nc,1801,most_AB < all,0.6652593,0.9102667,-23.88353,1.78572617836052e-40
30k-4c:0nc,1851,most_AB < all,0.6691407,0.9103111,-23.06482,2.59741877429844e-39
30k-4c:0nc,1901,most_AB < all,0.676237,0.9102963,-21.46344,5.9764822887817e-37
30k-4c:0nc,1951,most_AB < all,0.6781778,0.9102963,-22.23722,4.17200945526409e-38
30k-4c:0nc,2001,most_AB < all,0.6808296,0.9103259,-21.50643,5.14601284978706e-37
30k-4c:0nc,2051,most_AB < all,0.6844148,0.9103111,-21.40726,7.26931005433587e-37
30k-4c:0nc,2101,most_AB < all,0.6840593,0.9103111,-21.54619,4.48191976388717e-37
30k-4c:0nc,2151,most_AB < all,0.6858074,0.9103111,-21.63448,3.29964364828658e-37
30k-4c:0nc,2201,most_AB < all,0.6898519,0.9103259,-20.2009,5.30720192948034e-35
30k-4c:0nc,2251,most_AB < all,0.6911556,0.9103111,-20.60778,1.22563918833351e-35
30k-4c:0nc,2301,most_AB < all,0.6935556,0.9103111,-20.27197,4.10276100646661e-35
30k-4c:0nc,2351,most_AB < all,0.6921481,0.9103111,-21.01825,2.8481573958686e-36
30k-4c:0nc,2401,most_AB < all,0.6992296,0.9103111,-19.49536,7.05378483846638e-34
30k-4c:0nc,2451,most_AB < all,0.6985185,0.9103111,-19.37175,1.11659355509672e-33
30k-4c:0nc,2501,most_AB < all,0.7041333,0.9102963,-19.20345,2.09297378677882e-33
30k-4c:0nc,2551,most_AB < all,0.7036296,0.9102963,-19.1929,2.17735242861525e-33
30k-4c:0nc,2601,most_AB < all,0.7061482,0.9102963,-19.13988,2.65598354707707e-33
