group,step,direction,most_AB,not_all,t,p,sig
30k-4c:0nc,1,most_AB < not_all,0.4942074,0.6036593,-2.533851,0.013031274,not sig
30k-4c:0nc,51,most_AB < not_all,0.5055407,0.6638222,-3.903956,0.000183759,sig
30k-4c:0nc,101,most_AB < not_all,0.5174222,0.7142519,-5.181738,1.36E-06,sig
30k-4c:0nc,151,most_AB < not_all,0.5266815,0.7570963,-6.39019,7.40E-09,sig
30k-4c:0nc,201,most_AB < not_all,0.5316,0.787837,-7.788443,1.18E-11,sig
30k-4c:0nc,251,most_AB < not_all,0.5448296,0.8227111,-9.669888,1.54E-15,sig
30k-4c:0nc,301,most_AB < not_all,0.5478963,0.8591111,-13.54292,2.45E-23,sig
30k-4c:0nc,351,most_AB < not_all,0.5568444,0.8904296,-21.93959,1.15E-37,sig
30k-4c:0nc,401,most_AB < not_all,0.5651556,0.913363,-39.34714,4.55E-58,sig
30k-4c:0nc,451,most_AB < not_all,0.5674222,0.9229037,-46.93734,1.42E-64,sig
30k-4c:0nc,501,most_AB < not_all,0.5750074,0.9270815,-44.3878,1.67E-62,sig
30k-4c:0nc,551,most_AB < not_all,0.5827852,0.9292296,-50.79114,1.62E-67,sig
30k-4c:0nc,601,most_AB < not_all,0.5851852,0.9298222,-51.97002,2.25E-68,sig
30k-4c:0nc,651,most_AB < not_all,0.587837,0.9301926,-47.0648,1.12E-64,sig
30k-4c:0nc,701,most_AB < not_all,0.5897185,0.9303407,-48.51344,8.37E-66,sig
30k-4c:0nc,751,most_AB < not_all,0.5988444,0.9302667,-51.42269,5.60E-68,sig
30k-4c:0nc,801,most_AB < not_all,0.6033481,0.9302519,-53.37616,2.25E-69,sig
30k-4c:0nc,851,most_AB < not_all,0.6024741,0.9302815,-49.82644,8.45E-67,sig
30k-4c:0nc,901,most_AB < not_all,0.6102074,0.9302963,-53.35684,2.32E-69,sig
30k-4c:0nc,951,most_AB < not_all,0.614963,0.9302519,-44.15489,2.62E-62,sig
30k-4c:0nc,1001,most_AB < not_all,0.618963,0.9302222,-41.60686,4.07E-60,sig
30k-4c:0nc,1051,most_AB < not_all,0.6219407,0.9301926,-39.99087,1.16E-58,sig
30k-4c:0nc,1101,most_AB < not_all,0.6276,0.9301926,-37.69094,1.69E-56,sig
30k-4c:0nc,1151,most_AB < not_all,0.6341333,0.9302222,-34.97381,8.67E-54,sig
30k-4c:0nc,1201,most_AB < not_all,0.6364444,0.9301926,-34.84723,1.17E-53,sig
30k-4c:0nc,1251,most_AB < not_all,0.6358074,0.9301926,-34.90788,1.01E-53,sig
30k-4c:0nc,1301,most_AB < not_all,0.6402222,0.9302074,-31.59418,3.77E-50,sig
