group,step,direction,most_BA,not_only,t,p,sig
30k-2c:2nc,51,most_BA < not_only,0.5122074,0.6169185,-2.80183,0.00623434,not sig
30k-2c:2nc,101,most_BA < not_only,0.4984593,0.8249482,-13.70385,1.20E-23,sig
30k-2c:2nc,151,most_BA < not_only,0.4960593,0.9012889,-27.26298,5.57E-45,sig
30k-2c:2nc,201,most_BA < not_only,0.485363,0.9288741,-35.94648,8.86E-55,sig
30k-2c:2nc,251,most_BA < not_only,0.4752444,0.9295852,-37.34635,3.64E-56,sig
30k-2c:2nc,301,most_BA < not_only,0.4810074,0.929437,-35.97889,8.22E-55,sig
30k-2c:2nc,351,most_BA < not_only,0.4878074,0.929437,-35.75214,1.39E-54,sig
30k-2c:2nc,401,most_BA < not_only,0.4925926,0.9294074,-34.41901,3.27E-53,sig
30k-2c:2nc,451,most_BA < not_only,0.5111407,0.9294074,-32.85386,1.52E-51,sig
30k-2c:2nc,501,most_BA < not_only,0.5340889,0.9294074,-29.59716,7.64E-48,sig
30k-2c:2nc,551,most_BA < not_only,0.5615556,0.9294074,-26.54066,4.69E-44,sig
30k-2c:2nc,601,most_BA < not_only,0.5909926,0.9294074,-25.8588,3.66E-43,sig
30k-2c:2nc,651,most_BA < not_only,0.6118667,0.9294074,-26.09368,1.80E-43,sig
30k-2c:2nc,701,most_BA < not_only,0.6287704,0.9294074,-27.53223,2.55E-45,sig
30k-2c:2nc,751,most_BA < not_only,0.647763,0.9294074,-26.12606,1.63E-43,sig
30k-2c:2nc,801,most_BA < not_only,0.6598815,0.9294074,-26.24672,1.13E-43,sig
30k-2c:2nc,851,most_BA < not_only,0.6742074,0.9294074,-25.8651,3.59E-43,sig
30k-2c:2nc,901,most_BA < not_only,0.6835704,0.9294074,-26.17978,1.38E-43,sig
30k-2c:2nc,951,most_BA < not_only,0.6954074,0.9294074,-24.66059,1.50E-41,sig
30k-2c:2nc,1001,most_BA < not_only,0.7055259,0.9294074,-23.28214,1.27E-39,sig
30k-2c:2nc,1051,most_BA < not_only,0.7105481,0.9294074,-23.04517,2.77E-39,sig
30k-2c:2nc,1101,most_BA < not_only,0.7200296,0.9294074,-22.23918,4.14E-38,sig
30k-2c:2nc,1151,most_BA < not_only,0.7238667,0.9294074,-22.35183,2.83E-38,sig
30k-2c:2nc,1201,most_BA < not_only,0.7283259,0.9294074,-22.67511,9.52E-39,sig
30k-2c:2nc,1251,most_BA < not_only,0.735437,0.929437,-21.61133,3.58E-37,sig
30k-2c:2nc,1301,most_BA < not_only,0.7383852,0.929437,-21.33515,9.35E-37,sig
30k-2c:2nc,1351,most_BA < not_only,0.7437185,0.929437,-21.44713,6.33E-37,sig
30k-2c:2nc,1401,most_BA < not_only,0.7464296,0.9294963,-21.74671,2.24E-37,sig
30k-2c:2nc,1451,most_BA < not_only,0.7473778,0.9294667,-22.72606,8.02E-39,sig
30k-2c:2nc,1501,most_BA < not_only,0.7502667,0.9294815,-22.13226,5.96E-38,sig
30k-2c:2nc,1551,most_BA < not_only,0.7552444,0.9294815,-21.77617,2.02E-37,sig
30k-2c:2nc,1601,most_BA < not_only,0.7561037,0.9295111,-22.34941,2.85E-38,sig
30k-2c:2nc,1651,most_BA < not_only,0.7601185,0.9295111,-22.31128,3.24E-38,sig
30k-2c:2nc,1701,most_BA < not_only,0.7638074,0.9295556,-22.82184,5.83E-39,sig
30k-2c:2nc,1751,most_BA < not_only,0.7641185,0.9295259,-23.80533,2.30E-40,sig
30k-2c:2nc,1801,most_BA < not_only,0.7669037,0.9295407,-24.07829,9.54E-41,sig
30k-2c:2nc,1851,most_BA < not_only,0.7694667,0.9295259,-24.62986,1.65E-41,sig
30k-2c:2nc,1901,most_BA < not_only,0.7725481,0.9295556,-25.77644,4.70E-43,sig
30k-2c:2nc,1951,most_BA < not_only,0.774563,0.9295556,-26.61775,3.73E-44,sig
30k-2c:2nc,2001,most_BA < not_only,0.7742815,0.9295407,-26.46818,5.83E-44,sig
30k-2c:2nc,2051,most_BA < not_only,0.7771259,0.9294815,-27.32504,4.65E-45,sig
30k-2c:2nc,2101,most_BA < not_only,0.7820444,0.9295259,-27.18409,7.02E-45,sig
30k-2c:2nc,2151,most_BA < not_only,0.7833185,0.9295111,-27.82937,1.08E-45,sig
30k-2c:2nc,2201,most_BA < not_only,0.7835259,0.9294815,-28.77147,7.49E-47,sig
30k-2c:2nc,2251,most_BA < not_only,0.7840296,0.9294963,-30.5636,5.64E-49,sig
30k-2c:2nc,2301,most_BA < not_only,0.7882074,0.9294815,-29.53782,8.99E-48,sig
30k-2c:2nc,2351,most_BA < not_only,0.7878963,0.9294518,-30.1547,1.68E-48,sig
30k-2c:2nc,2401,most_BA < not_only,0.7898519,0.9294667,-30.60613,5.04E-49,sig
30k-2c:2nc,2451,most_BA < not_only,0.7925926,0.9294667,-31.44012,5.62E-50,sig
30k-2c:2nc,2501,most_BA < not_only,0.7934815,0.9294518,-32.98448,1.10E-51,sig
30k-2c:2nc,2551,most_BA < not_only,0.7972148,0.9294667,-32.04606,1.18E-50,sig
30k-2c:2nc,2601,most_BA < not_only,0.7973333,0.9294667,-33.52953,2.85E-52,sig
30k-2c:2nc,2651,most_BA < not_only,0.7995556,0.9294667,-34.53799,2.46E-53,sig
30k-2c:2nc,2701,most_BA < not_only,0.799763,0.9294963,-36.4195,2.98E-55,sig
30k-2c:2nc,2751,most_BA < not_only,0.799437,0.9294815,-36.0989,6.23E-55,sig
30k-2c:2nc,2801,most_BA < not_only,0.8022667,0.9294815,-34.04197,8.13E-53,sig
30k-2c:2nc,2851,most_BA < not_only,0.804563,0.9294815,-36.04694,7.02E-55,sig
30k-2c:2nc,2901,most_BA < not_only,0.8066815,0.9295111,-36.1428,5.63E-55,sig
30k-2c:2nc,2951,most_BA < not_only,0.8081185,0.9295111,-35.65896,1.73E-54,sig
30k-2c:2nc,3001,most_BA < not_only,0.8072296,0.9295111,-37.03755,7.30E-56,sig
30k-1c:3nc,1,most_BA < not_only,0.4921481,0.6263259,-3.023752,0.003261734,not sig
30k-1c:3nc,51,most_BA < not_only,0.4817778,0.8047852,-10.04119,2.63E-16,sig
30k-1c:3nc,101,most_BA < not_only,0.4681185,0.8789185,-17.05991,8.47E-30,sig
30k-1c:3nc,151,most_BA < not_only,0.4543852,0.9043259,-24.39309,3.49E-41,sig
30k-1c:3nc,201,most_BA < not_only,0.4474963,0.9120889,-29.69952,5.78E-48,sig
30k-1c:3nc,251,most_BA < not_only,0.4461926,0.9289926,-59.62834,1.53E-73,sig
30k-1c:3nc,301,most_BA < not_only,0.4449778,0.9315704,-64.25266,2.31E-76,sig
30k-1c:3nc,351,most_BA < not_only,0.4486222,0.9315704,-62.08576,4.58E-75,sig
30k-1c:3nc,401,most_BA < not_only,0.4536,0.9315704,-57.82181,2.22E-72,sig
30k-1c:3nc,451,most_BA < not_only,0.456,0.9315704,-54.05665,7.53E-70,sig
30k-1c:3nc,501,most_BA < not_only,0.4621778,0.9315704,-50.24192,4.14E-67,sig
30k-1c:3nc,551,most_BA < not_only,0.4760593,0.9315704,-51.91541,2.46E-68,sig
30k-1c:3nc,601,most_BA < not_only,0.4888889,0.9315704,-50.84535,1.48E-67,sig
30k-1c:3nc,651,most_BA < not_only,0.5140296,0.9315704,-49.09301,3.02E-66,sig
30k-1c:3nc,701,most_BA < not_only,0.5351407,0.9315704,-48.97295,3.73E-66,sig
30k-1c:3nc,751,most_BA < not_only,0.5527407,0.9315704,-45.8158,1.12E-63,sig
30k-1c:3nc,801,most_BA < not_only,0.568563,0.9315704,-47.26067,7.88E-65,sig
30k-1c:3nc,851,most_BA < not_only,0.5789482,0.9315704,-47.82405,2.86E-65,sig
30k-1c:3nc,901,most_BA < not_only,0.5821037,0.9315704,-47.44029,5.69E-65,sig
30k-1c:3nc,951,most_BA < not_only,0.5862519,0.9315704,-46.85486,1.65E-64,sig
30k-1c:3nc,1001,most_BA < not_only,0.5936,0.9315704,-46.42649,3.62E-64,sig
30k-1c:3nc,1051,most_BA < not_only,0.5979704,0.9315704,-47.10784,1.04E-64,sig
