group,step,direction,most_BA,only,t,p,sig
30k-2c:2nc,101,most_BA > only,0.4984593,0.375363,3.407573,0.000986029,not sig
30k-2c:2nc,151,most_BA > only,0.4960593,0.3217778,4.855874,5.09E-06,sig
30k-2c:2nc,201,most_BA > only,0.485363,0.2863704,5.863567,7.57E-08,sig
30k-2c:2nc,251,most_BA > only,0.4752444,0.2701037,6.448135,5.71E-09,sig
30k-2c:2nc,301,most_BA > only,0.4810074,0.277437,6.416953,6.56E-09,sig
30k-2c:2nc,351,most_BA > only,0.4878074,0.2831556,6.437984,5.97E-09,sig
30k-2c:2nc,401,most_BA > only,0.4925926,0.3051111,5.871465,7.32E-08,sig
30k-2c:2nc,451,most_BA > only,0.5111407,0.3240593,5.744948,1.26E-07,sig
30k-2c:2nc,501,most_BA > only,0.5340889,0.3494815,5.403829,5.40E-07,sig
30k-2c:2nc,551,most_BA > only,0.5615556,0.3835556,5.21602,1.18E-06,sig
30k-2c:2nc,601,most_BA > only,0.5909926,0.4323407,4.705302,9.24E-06,sig
30k-2c:2nc,651,most_BA > only,0.6118667,0.4868148,3.67669,0.000403664,not sig
30k-2c:2nc,701,most_BA > only,0.6287704,0.5364593,2.812684,0.006044587,not sig
30k-2c:2nc,751,most_BA > only,0.647763,0.5821185,2.046026,0.043704948,not sig
30k-2c:2nc,1001,most_BA < only,0.7055259,0.7571704,-2.064399,0.041890501,not sig
30k-2c:2nc,1051,most_BA < only,0.7105481,0.779037,-3.036328,0.003141079,not sig
30k-2c:2nc,1101,most_BA < only,0.7200296,0.8022963,-4.161291,7.29E-05,sig
30k-2c:2nc,1151,most_BA < only,0.7238667,0.8229926,-5.856588,7.80E-08,sig
30k-2c:2nc,1201,most_BA < only,0.7283259,0.8385481,-7.32219,1.04E-10,sig
30k-2c:2nc,1251,most_BA < only,0.735437,0.8494074,-8.141847,2.22E-12,sig
30k-2c:2nc,1301,most_BA < only,0.7383852,0.8613185,-9.98762,3.40E-16,sig
30k-2c:2nc,1351,most_BA < only,0.7437185,0.8703556,-11.56693,1.99E-19,sig
30k-2c:2nc,1401,most_BA < only,0.7464296,0.8766667,-13.07199,2.02E-22,sig
30k-2c:2nc,1451,most_BA < only,0.7473778,0.8814222,-14.64016,2.00E-25,sig
30k-2c:2nc,1501,most_BA < only,0.7502667,0.8850074,-14.64895,1.93E-25,sig
30k-2c:2nc,1551,most_BA < only,0.7552444,0.8898222,-16.05111,5.15E-28,sig
30k-2c:2nc,1601,most_BA < only,0.7561037,0.8932,-17.0939,7.39E-30,sig
30k-2c:2nc,1651,most_BA < only,0.7601185,0.8966222,-17.89989,3.05E-31,sig
30k-2c:2nc,1701,most_BA < only,0.7638074,0.8989185,-18.8418,8.17E-33,sig
30k-2c:2nc,1751,most_BA < only,0.7641185,0.9005185,-20.13421,6.76E-35,sig
30k-2c:2nc,1801,most_BA < only,0.7669037,0.9021482,-20.50511,1.77E-35,sig
30k-2c:2nc,1851,most_BA < only,0.7694667,0.9023704,-20.62182,1.17E-35,sig
30k-2c:2nc,1901,most_BA < only,0.7725481,0.9032741,-21.77777,2.01E-37,sig
30k-2c:2nc,1951,most_BA < only,0.774563,0.904963,-22.68381,9.24E-39,sig
30k-2c:2nc,2001,most_BA < only,0.7742815,0.9060889,-23.16391,1.87E-39,sig
30k-2c:2nc,2051,most_BA < only,0.7771259,0.9061333,-23.15266,1.94E-39,sig
30k-2c:2nc,2101,most_BA < only,0.7820444,0.9065778,-22.73801,7.71E-39,sig
30k-2c:2nc,2151,most_BA < only,0.7833185,0.9068,-23.31328,1.14E-39,sig
30k-2c:2nc,2201,most_BA < only,0.7835259,0.908237,-25.17509,2.99E-42,sig
30k-2c:2nc,2251,most_BA < only,0.7840296,0.9080148,-26.54007,4.70E-44,sig
30k-2c:2nc,2301,most_BA < only,0.7882074,0.9090519,-26.26339,1.08E-43,sig
30k-2c:2nc,2351,most_BA < only,0.7878963,0.9092296,-26.93448,1.46E-44,sig
30k-2c:2nc,2401,most_BA < only,0.7898519,0.9091556,-27.84223,1.04E-45,sig
30k-2c:2nc,2451,most_BA < only,0.7925926,0.9093778,-28.21827,3.56E-46,sig
30k-2c:2nc,2501,most_BA < only,0.7934815,0.9095556,-30.39726,8.79E-49,sig
30k-2c:2nc,2551,most_BA < only,0.7972148,0.9096741,-28.85218,5.98E-47,sig
30k-2c:2nc,2601,most_BA < only,0.7973333,0.9099852,-30.69971,3.93E-49,sig
30k-2c:2nc,2651,most_BA < only,0.7995556,0.9097926,-32.01208,1.29E-50,sig
30k-2c:2nc,2701,most_BA < only,0.799763,0.9096593,-34.08777,7.28E-53,sig
30k-2c:2nc,2751,most_BA < only,0.799437,0.9098519,-33.96126,9.90E-53,sig
30k-2c:2nc,2801,most_BA < only,0.8022667,0.9096741,-32.37008,5.16E-51,sig
30k-2c:2nc,2851,most_BA < only,0.804563,0.9097778,-33.49372,3.11E-52,sig
30k-2c:2nc,2901,most_BA < only,0.8066815,0.9096,-33.33967,4.55E-52,sig
30k-2c:2nc,2951,most_BA < only,0.8081185,0.9097481,-32.53949,3.36E-51,sig
30k-2c:2nc,3001,most_BA < only,0.8072296,0.9097778,-34.44075,3.10E-53,sig
